	gene id
0	PA3423
1	PA0084
2	PA2455
3	PA3029
4	PA1588
5	PA2220
6	PA4656
7	PA3585
8	PA1325
9	PA3067
10	PA1018
11	PA3558
12	PA2145
13	PA4624
14	PA5159
15	PA1429
16	PA5032
17	PA4551
18	PA1532
19	PA2918
20	PA0748
21	PA4370
22	PA3387
23	PA4813
24	PA4142
25	PA1365
26	PA1214
27	PA1687
28	PA0638
29	PA1558
30	PA2809
31	PA2648
32	PA0193
33	PA3770
34	PA2792
35	PA0221
36	PA4197
37	PA3414
38	PA0029
39	PA0055
40	PA5460
41	PA1342
42	PA4772
43	PA1466
44	PA2356
45	PA0816
46	PA5367
47	PA3406
48	PA0868
49	PA4755
50	PA1489
51	PA3083
52	PA1909
53	PA4309
54	PA4903
55	PA2713
56	PA0330
57	PA1907
58	PA0982
59	PA4103
60	PA1774
61	PA4567
62	PA5508
63	PA1524
64	PA2118
65	PA4842
66	PA3564
67	PA4264
68	PA1064
69	PA0341
70	PA1345
71	PA2478
72	PA0077
73	PA1232
74	PA1878
75	PA2875
76	PA4436
77	PA2812
78	PA1286
79	PA3173
80	PA2662
81	PA0106
82	PA0405
83	PA0499
84	PA3658
85	PA0644
86	PA3190
87	PA1471
88	PA0096
89	PA3023
90	PA1766
91	PA4217
92	PA0996
93	PA3950
94	PA5115
95	PA0505
96	PA0114
97	PA5150
98	PA4042
99	PA2678
